STATEFP20,COUNTYFP20,TRACTCE20,BLOCKCE20,GEOID20,NAME20,MTFCC20,UR20,UACE20,UATYPE20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20
"42","101","004104","2007","421010041042007",Block 2007,G5040,R,,,S,5634,0,"+39.9173917","-075.1601787"
"42","101","004104","2006","421010041042006",Block 2006,G5040,R,,,S,6484,0,"+39.9173260","-075.1596807"
"42","101","004104","2002","421010041042002",Block 2002,G5040,R,,,S,6653,0,"+39.9170504","-075.1575682"
"42","101","004103","2000","421010041032000",Block 2000,G5040,R,,,S,19125,0,"+39.9194844","-075.1565125"
"42","101","004201","2014","421010042012014",Block 2014,G5040,R,,,S,7367,0,"+39.9202984","-075.1528292"
"42","101","004202","4005","421010042024005",Block 4005,G5040,R,,,S,7117,0,"+39.9188748","-075.1550044"
"42","101","019900","4012","421010199004012",Block 4012,G5040,R,,,S,4833,0,"+40.0043173","-075.1477965"
"42","101","016701","1001","421010167011001",Block 1001,G5040,R,,,S,3067,0,"+39.9944846","-075.1606500"
"42","101","016702","3001","421010167023001",Block 3001,G5040,R,,,S,6857,0,"+39.9940235","-075.1570566"
"42","101","037900","1002","421010379001002",Block 1002,G5040,R,,,S,5893,0,"+39.9870610","-075.1023499"
"42","101","037900","2003","421010379002003",Block 2003,G5040,R,,,S,6048,0,"+39.9885161","-075.0985433"
"42","101","037900","5002","421010379005002",Block 5002,G5040,R,,,S,4544,0,"+39.9873784","-075.0975380"
"42","101","029300","2012","421010293002012",Block 2012,G5040,R,,,S,20684,0,"+40.0107913","-075.0924216"
"42","101","037200","4000","421010372004000",Block 4000,G5040,R,,,S,11110,0,"+39.9111054","-075.1488518"
